snapshot_date,snapshot_ts,source,provider,instance_type,instance_family,gpu_name,gpu_variant,gpu_memory_gb,gpu_count,gpu_interconnect,vcpus,ram_gb,storage_desc,network_desc,region,zone,country,geo_group,pricing_type,commitment_period,price_per_hour,price_per_gpu_hour,currency,price_unit,available,available_count,os,tenancy,pre_installed_sw,raw_extra
2026-03-23,2026-03-23T00:33:29Z,lightningai,lightningai,1,,1,,,1,,,,,,,,,,on_demand,,0.19,0.19,USD,hour,True,,,,,
2026-03-23,2026-03-23T00:33:29Z,lightningai,lightningai,1,,1,,,1,,,,,,,,,,on_demand,,0.48,0.48,USD,hour,True,,,,,
2026-03-23,2026-03-23T00:33:29Z,lightningai,lightningai,1,,1,,,1,,,,,,,,,,on_demand,,2.89,2.89,USD,hour,True,,,,,
2026-03-23,2026-03-23T00:33:29Z,lightningai,lightningai,1,,1,,,1,,,,,,,,,,on_demand,,2.89,2.89,USD,hour,True,,,,,
2026-03-23,2026-03-23T00:33:29Z,lightningai,lightningai,1,,1,,,1,,,,,,,,,,on_demand,,1.29,1.29,USD,hour,True,,,,,
2026-03-23,2026-03-23T00:33:29Z,lightningai,lightningai,1,,1,,,1,,,,,,,,,,on_demand,,2.71,2.71,USD,hour,True,,,,,
2026-03-23,2026-03-23T00:33:29Z,lightningai,lightningai,1,,1,,,1,,,,,,,,,,on_demand,,1.99,1.99,USD,hour,True,,,,,
2026-03-23,2026-03-23T00:33:29Z,lightningai,lightningai,1,,1,,,1,,,,,,,,,,on_demand,,3.5,3.5,USD,hour,True,,,,,
